boundary_x,boundary_y
348685.4562,4537312.831
348992.9801,4544018.768
348932.5219,4541697.686
348950.4742,4539566.534
348943.3898,4538381.498
348964.1598,4536245.813
350149.0122,4545263.173
350181.3747,4534951.251
351302.2267,4545807.765
351302.2267,4534632.648
351894.6529,4532723.728
352002.3668,4546640.526
352594.793,4532188.091
353079.5054,4530336.968
353187.2192,4546640.526
353761.6932,4529362.971
354001.916,4526839.814
354372.0717,4546677.158
354964.4979,4526197.584
355449.2103,4524346.461
354920.4946,4547801.356
356002.3074,4545629.545
356149.3503,4523591.847
356149.3503,4522409.864
356149.3503,4521227.88
356149.3503,4520045.896
356149.3503,4518863.913
356149.3503,4517681.929
356149.3503,4516499.946
356149.3503,4515317.962
356149.3503,4514135.979
356149.3503,4512953.995
356559.4916,4511143.825
356106.1199,4547822.751
357136.7274,4545171.042
357170.5884,4541960.003
357064.9181,4544083.144
357972.7921,4541959.667
357765.0582,4511133.74
358384.4129,4539793.379
358680.626,4538391.063
358680.626,4513353.281
358519.0552,4541832.002
359614.1461,4538048.759
359472.1566,4534938.197
359829.5738,4515633.606
359326.9091,4513921.073
360781.0462,4534658.516
361011.8616,4531353.411
360565.6185,4516123.86
360870.8078,4533226.804
361158.0447,4518160.584
361998.0196,4530881.243
362055.6602,4529609.218
362281.3464,4527871.293
362083.9975,4520539.204
361804.3279,4518756.46
363426.7679,4526713.078
363333.5748,4522966.666
363043.0372,4520905.521
364281.7466,4526042.374
364227.8897,4524451.471
364174.0327,4523376.941
350032.3625,4536246.973
347766.9903,4537280.065
347669.9029,4538345.44
350097.0874,4544253.43
